1_8_17_55	29.809525	13.638889	273.052643	302.799988	280.631592	113.555557	111.166664	318.125	134.536591	112.166664
1_8_17_59	17.472727	6.15	266.929413	333.191162	292.899994	117.188683	108.526314	270.5	133.28302	117.75
1_8_18_02	16.78261	18.355556	246.92424	311.557678	247.555557	116.947365	91.363632	173.5	134.069763	115.714287
1_10_11_18	17.592592	8.5	310.720001	416.138885	60.5	125.294121	111.454544	147.25	134	136
1_10_11_21	25.285713	7.666667	333	340.913788	86	124.128204	140.5	4	139.925919	138.666672
1_10_11_23	0	0	2	346.666656	0	2	0	151.75	133.058823	131.166672
1_11_10_10	35.627453	30.538462	260.200012	366.914276	254.625	108.616669	116.333336	157.285721	137.15152	77.666664
1_11_10_16	19.283018	15.411765	243.227844	362.75473	280.421051	102.254906	114.523811	297.111115	137.160004	0
1_11_10_19	28.26984	8.015625	257.36084	376.318176	248.769226	108.677422	123.050003	176.5	137.951614	146
12_16_13_35	13.102564	5	245.153839	241.75	244.947372	123.864868	127.769234	245.461533	62.974358	69
12_16_13_42	13.74	8.666667	249.460007	246.823532	249.102036	125.1875	129.460007	249.580002	66.959999	90.199997
12_16_13_46	7.259259	0	249.129623	246.454544	249.05661	125.25	128.462967	249.185181	63.092594	63
12_16_13_50	2.519481	28.615385	238.82666	238.813339	238.878372	120.095886	122.026665	239.621628	64.297295	118
12_16_13_53	7.113208	18	234.903839	231	231.960007	117.959999	114.71154	233.538467	61.153847	34
12_16_13_57	45.238094	19.341463	244.170731	244.195129	244.5	123.205132	126.804878	245.774994	63.650002	124.333336
12_16_14_00	0	4.326531	253.303574	253.321426	253.490906	125.685188	131.418182	252.814819	68.472725	126.285713
12_16_14_05	3.728814	37.166668	229.43103	229.758621	227.649124	117	115.551727	213.322586	66.824562	80.800003
12_16_14_08	9.173077	35.333332	226.528839	227.471161	226.287354	116.744682	112.473686	226.528839	63.673077	115.125
12_16_14_13	6.823529	33.727272	234.843903	234.087372	234.823532	118.980202	116.712196	234.770737	62.765854	97
12_16_14_22	22.219513	14.956522	234.952377	236.952377	234.341461	119.800003	120.952377	233.166672	97.650002	107.083336
12_16_14_25	7.982759	7.384615	237.965515	235.779663	237.89473	120.160713	122.258621	237.982758	75.43103	112.571426
12_16_14_28	6.75	12.2	231.192307	228.886795	231	117.919998	117.865387	230	71.313728	97.199997
12_16_14_32	40.333332	9.16	236.307693	236.603775	235.92157	119.959999	121.03846	237.807693	63.192307	132.399994
12_16_14_36	9.691176	8.5	234.661758	236	234.656723	119.363632	118.588234	234.632355	61.705883	101.666664
12_16_14_40	48.333332	10.897436	235.541672	235.653061	235.234039	120.021736	120.520836	236.9375	71.297874	119
12_16_14_44	4.634615	15.25	240.5849	242.396225	240.365387	119.725487	125.339622	240.66037	65.254906	102.375
12_16_14_47	37.904762	9.472727	245.126984	244.203125	243.540985	122.366669	122.209679	245.126984	65.619049	126.25
12_16_14_51	7.160714	27.818182	249.40741	245.482147	247.442307	120.860001	123	248	62.703705	93.599998
12_16_14_54	0	17.5	254.555557	2	254.20755	124.634613	132.745102	254.5	0	34.5
12_17_19_07	39	12.529412	210.058823	203.65715	209.909088	113.875	102.205879	209.393936	70.75	135.565216
12_17_19_11	40.096775	11.348837	211.681824	209.613632	208.52272	110.674416	98.977776	209.325577	69.14286	139.655167
12_17_19_14	31.266666	13.222222	218.454544	218.659088	218.162796	114.85714	108.477272	218.534882	71.214287	140.066666
12_17_19_16	41.095238	8.4	224.024994	224.074997	223.641022	116.763161	113.125	224.051285	69.789474	142.166672
12_17_19_20	35	10.121951	2	207.095245	211.050003	0	26.5	212.225006	69.384613	138.91304
12_17_19_23	10.653061	41.5	208.755096	208.938782	208.583328	112.446808	100.387756	208.833328	70.659576	139.052628
12_17_19_26	20.59375	34.142857	210.193542	210.838715	210.433334	113.482758	103.225807	206.6129	68	131
12_17_19_28	39.095238	11.263158	212.657898	212.692307	212.297302	113.333336	105.026314	212.342102	69.864868	140.681824
12_17_19_30	20	29.625	201.534882	197.604645	201.714279	113.536583	92.209305	202.487808	68.574997	134.10527
12_17_19_33	20	29.625	201.534882	197.604645	201.714279	113.536583	92.209305	202.487808	68.574997	134.10527
12_25_21_37	44.146339	9	240.738098	240.880951	240.390244	121.574997	125.214287	240.439026	86	140.166672
12_25_21_41	32.37838	6.611111	245.361115	245.305557	245.371429	123.323532	128.638885	245.257141	86.676468	133
12_25_21_44	34.145161	5.451613	243.412704	243.841263	243.704926	121.433334	126.548386	243.790329	86.934425	142.222229
12_25_21_56	35.111111	11.047619	252	252.080643	252	125.633331	130.032791	252.868851	92.5	130.636368
12_25_21_59	17.97436	44.916668	249.368423	244.512817	247.567566	124.833336	129.263153	235.25	88.810814	86.85714
12_25_22_03	43.098038	6.24	254.619995	254.759995	254.693878	127.9375	131.699997	254.510208	90.125	140
12_25_22_08	46	37	253.277771	238.300003	240.777771	123.333336	118.882355	240.10527	86.722221	124.666664
12_25_22_09	31.117647	0	249.300003	233.115784	1	120.333336	122	251.223526	88.951218	110.875
12_26_14_48	16.820513	13.421053	276.411774	274.011627	266.666656	91.888885	87.639999	278.481934	118.279999	87.333336
12_26_14_54	22	16.631578	2	270.813965	243.568176	56	62	253.725281	112.8125	85.470589
12_26_15_07	30	17.533333	284.799988	2	255.867477	94.134834	98.862068	272.309265	31	73
12_26_15_11	26	22.666668	3418.333252	206.578949	3	3	0	203.388428	98.356438	77.53846
12_26_15_14	49	48	938	221.815216	0	2	0	199.794449	83.816902	90.971222
12_26_20_23	40	11.689655	252.724136	251.655167	253.071426	125.40741	134.740738	252.5	66.259262	0
12_26_20_26	28.131578	28.188679	256.78183	211.611938	253.75	119.717392	126.269234	258.740753	76.528305	94.263161
12_26_20_30	30	17.613636	253.061218	204.639343	252.958328	125.829788	132.693878	248.244904	86.533333	84.227272
12_30_20_44	26.229507	12.16	281.1875	321.225342	168	112.854164	114.428574	212.882355	120	116.699997
12_30_20_53	14.890909	7.857143	273.729736	281.861115	195.692307	107.384613	90.599998	137.666672	125.583336	131.833328
1_6_16_19	41.5	23.833332	299.310333	323.96225	182	106.88372	70.363632	171	129.761902	126
1_6_16_23	39.153847	38	307.084747	345.173065	196.111115	108.346939	74.625	1	133.571426	136
1_6_16_26	21.6	48	294.91452	381.296692	203.307693	104.852272	88.636368	1	133.952942	95
1_6_16_39	21.719999	12.857143	212.469391	212.63266	212.375	119.61702	97.224487	211.895828	88.276596	119.027779
1_6_16_41	22.888889	15.027027	226.135132	226.842102	226.083328	120.228569	112.24324	226.216217	91.583336	124.550003
1_6_16_44	12.86	20.244898	207.081635	206.857147	206.916672	116.680855	94.653061	207.4375	84.872337	119.07692
1_6_16_51	3.980769	27.625	238.639999	238.559998	238.346939	120.041664	120.744682	237.897964	92.787231	132.111115
1_6_16_54	17.142857	18.163635	240.72728	240.636368	240.925919	121.622643	123.054543	240.962967	86.679245	138.947372
1_6_16_57	29.510637	10.804348	249.565216	249.957443	250.044449	124.659088	129.266663	250.717392	85.533333	138.857147
1_6_17_05	42.341461	3.585366	265.414642	265.585358	265.424988	131.10257	138.583328	265.299988	90.794868	135
1_6_17_09	27.625	41.299999	252.046158	251.9375	251.9375	125.349205	130.661545	251.825394	85.967743	144
1_6_17_12	39	5.72973	261.333344	261.194458	261.399994	129.823532	137.212128	261.628571	85.647057	144
1_6_17_23	30.405405	18.444445	204.194443	199.108109	203.542862	124	86.166664	204.399994	78.333336	120.75
1_6_17_26	46	7.911765	220.285721	220.114288	219.34375	123.6875	104.121208	219.470581	79	133.789474
1_6_17_29	46	7.911765	220.285721	220.114288	219.34375	123.6875	104.121208	219.470581	79	133.789474
1_6_18_08	37.405403	7.315068	173.917801	173.945206	173.944443	117.605637	58.71233	173.847229	74.239433	102.109589
1_6_18_12	22.741573	40.761192	150.91011	150.954544	150.931824	97.275864	55.314606	150.91954	75.511627	77.045456
1_6_18_15	13.405797	10.852941	149.470581	149.411758	149.567169	98.42424	53.279411	149.791046	75.71212	75.632355
07_01_08_49	33.25	7.75	315.75	561.571411	170.399994	112.285713	0	0	76	0
