65818,65835,30524,26391
98614,98619,30530,26377
131358,114236,30515,26385
142405,114231,30527,26382
142422,114251,30524,26387
142430,114248,30523,26379
142444,114255,30533,26386
142462,114271,30519,26373
142474,114266,30537,26382
142495,114287,30527,26381
142493,114291,30535,26391
142511,114274,30545,26383
142516,114295,30543,26383
142527,114307,30560,26388
142547,114318,30539,26386
142549,114309,30542,26390
142565,114305,30547,26401
142568,114307,30567,26404
142574,114318,30555,26398
142588,114320,30570,26414
142601,114325,30576,26392
142618,114338,30570,26394
142630,114339,30579,26399
142630,114333,30573,26411
142641,114339,30578,26395
142648,114350,30580,26400
142659,114355,30592,26416
142656,114366,30577,26407
142672,114371,30567,26404
142685,114370,30586,26403
142691,114384,30586,26418
142689,114382,30588,26410
139460,113057,30518,26337
139452,113080,30526,26346
139456,113082,30520,26397
139549,113057,30556,26328
139512,113081,30542,26341
139549,113072,30546,26386
139565,113102,30553,26347
139582,113084,30546,26315
139663,113129,30524,26345
139589,113090,30505,26338
139620,113120,30535,26391
139637,113150,30534,26350
139593,113095,30534,26338
139658,113097,30532,26344
139709,113150,30596,26376
139758,113146,30518,26378
139668,113167,30547,26338
139751,113175,30534,26359
139767,113181,30532,26346
139776,113176,30541,26338
139963,113363,30497,26349
139952,113231,30537,26317
139962,113218,30543,26301
140030,113235,30536,26347
139888,113251,30539,26348
139981,113269,30496,26336
140013,113280,30530,26414
140090,113280,30560,26324
140042,113247,30553,26345
140021,113264,30549,26337
140036,113219,30556,26398
139966,113278,30568,26313
140057,113229,30522,26346
140125,113267,30548,26353
140038,113270,30496,26355
140081,113269,30423,26370
140082,113274,30541,26358
140107,113307,30603,26365
140104,113424,30509,26349
140134,113294,30542,26339
140162,113362,30545,26316
140196,113309,30527,26302
140174,113267,30544,26333
140128,113316,30471,26355
140155,113333,30549,26338
140199,113319,30544,26396
140208,113347,30571,26329
140237,113370,30554,26341
140246,113351,30557,26381
140222,113339,30568,26355
140260,113351,30554,26343
140276,113327,30546,26349
140272,113340,30541,26357
140291,113316,30603,26374
140282,113368,30529,26366
140256,113370,30558,26357
140316,113361,30550,26329
140343,113398,30539,26313
140337,113423,30568,26345
140371,113395,30540,26348
140368,113390,30541,26345
140395,113406,30553,26400
140336,113389,30595,26309
140419,113452,30583,26357
140480,113446,30559,26390
140436,113360,30589,26357
140484,113445,30561,26336
140081,113269,30568,26352
140498,113466,30607,26362
140491,113460,30555,26327
140489,113431,30565,26404
140541,113534,30605,26374
140563,113486,30580,26343
140538,113454,30547,26346
140498,113475,30573,26331
140534,113421,30575,26312
140576,113467,30559,26359
140630,113499,30569,26350
140554,113497,30557,26346
140623,113465,30579,26344
140675,113507,30582,26354
140694,113516,30657,26334
140615,113535,30581,26231
140690,113469,30577,26371
140678,113514,30571,26372
140666,113532,30586,26469
140726,113525,30609,26360
140735,113554,30581,26306
140740,113587,30568,26351
140767,113552,30526,26369
140772,113561,30568,26345
140787,113556,30585,26359
140796,113540,30621,26332
140826,113649,30570,26339
