200,210
472,468
750,750
1033,1060
1328,1326
1644,1640
1959,1964
2268,2264
2587,2589
2908,2909
3230,3229
3552,3546
3863,3862
4165,4204
4475,4470
4777,4772
5064,5070
5368,5360
5653,5647
5928,5924
6211,6206
6483,6490
6760,6763
7039,7031
7319,7319
7596,7599
7881,7882
8164,8158
8432,8428
8696,8687
8967,8962
9243,9232
9518,9509
9793,9785
10082,10108
10335,10356
10594,10605
10863,10861
11144,11139
11395,11400
11662,11660
11915,11905
12168,12173
12427,12423
12695,12696
12953,12947
13227,13224
13491,13489
13757,13756
14046,14042
14320,14312
14598,14612
14874,14867
15147,15134
15417,15412
15685,15714
15944,15932
16197,16198
16461,16453
16723,16717
16996,17000
17244,17251
