175,223
246,272
486,487
795,800
1107,1112
1413,1418
1719,1718
2036,2025
2320,2319
2616,2611
2904,2902
3193,3190
3488,3492
3780,3782
4054,4056
4325,4330
4602,4651
4863,4861
5120,5120
5391,5384
5649,5632
5895,5942
6171,6218
6445,6442
6706,6701
6974,6976
7245,7248
7511,7514
7783,7781
8051,8050
8314,8282
8581,8581
8864,8870
9164,9156
9437,9435
9704,9704
9972,9976
10227,10224
10491,10489
10754,10758
11011,11004
11262,11249
11517,11524
11791,11839
12070,12100
12373,12365
12671,12670
12969,13010
13280,13310
13593,13584
13894,13886
14193,14193
14490,14493
14793,14792
15101,15094
