48,-1
62,42
342,333
626,617
916,910
1206,1200
1495,1494
1784,1782
2083,2082
2382,2378
2680,2677
2966,2974
3252,3243
3541,3534
3829,3834
4117,4114
4409,4403
4700,4694
5259,5259
5532,5534
5806,5800
6078,6080
6359,6352
6655,6652
7232,7236
7519,7515
7797,7795
8090,8075
8368,8362
8655,8654
8941,8932
9226,9220
9505,9502
9789,9778
10059,10054
10330,10323
10594,10586
10879,10872
11179,11177
11470,11462
11762,11763
12051,12045
12352,12346
12644,12639
12938,12934
13247,13242
13562,13547
13863,13859
14175,14172
14494,14482
14803,14800
15117,15113
15430,15424
15713,15712
16019,16014
16328,16320
