210,202
222,202
502,496
801,787
1094,1086
1392,1385
1685,1673
1975,1961
2275,2270
2571,2559
2875,2865
3169,3162
3471,3463
3774,3764
4059,4049
4353,4344
4651,4646
4933,4923
5209,5201
5481,5480
5783,5772
6064,6056
6355,6346
6655,6648
6944,6934
7242,7226
7529,7522
7824,7815
8116,8106
8425,8409
8721,8716
9012,9002
9302,9294
9590,9582
9886,9876
10174,10166
10469,10461
10767,10760
11074,11080
11377,11366
11684,11670
11978,11969
12284,12276
12591,12579
12882,12874
13176,13165
13481,13472
13783,13770
14085,14078
14372,14362
14681,14672
